oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Motorola,Edge+,2020,2020,161.1 x 71.4 x 9.6 mm (6.34 x 2.81 x 0.38 in),,Nano-SIM,OLED capacitive touchscreen,,6.7,1080 x 2340 pixels,19.5:9 ratio (~385 ppi density)
Motorola,Moto G8 Power Lite,2020,2020,164.9 x 75.8 x 9.2 mm (6.49 x 2.98 x 0.36 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Motorola,Moto E6s (2020),2020,2020,155.6 x 73 x 8.5 mm (6.13 x 2.87 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Motorola,Moto G8,2020,2020,161.3 x 75.8 x 9 mm (6.35 x 2.98 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Motorola,Moto G Stylus,2020,2020,158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.4,1080 x 2300 pixels (~399 ppi density),Fingerprint (rear-mounted)
Motorola,Moto G Power,2020,2020,159.9 x 75.8 x 9.6 mm (6.30 x 2.98 x 0.38 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.4,1080 x 2300 pixels (~399 ppi density),Fingerprint (rear-mounted)
Motorola,Moto G8 Power,2020,2020,156 x 75.8 x 9.6 mm (6.14 x 2.98 x 0.38 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2300 pixels (~399 ppi density)
Motorola,One Hyper,2019,2020,161.8 x 76.6 x 8.9 mm (6.37 x 3.02 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,Razr 2019,2019,2020,Unfolded: 172 x 72 x 6.9 mmFolded: 94 x 72 x 14mm,,eSIM,Foldable P-OLED capacitive touchscreen,,6.2,876 x 2142 pixels (~373 ppi density),Fingerprint (front-mounted)
Motorola,Moto G8 Play,2019,2019,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Motorola,Moto E6 Play,2019,2019,146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
Motorola,Moto G8 Plus,2019,2019,158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2280 pixels
Motorola,One Macro,2019,2019,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Motorola,Moto E6 Plus,2019,2019,155.6 x 73.1 x 8.6 mm (6.13 x 2.88 x 0.34 in),,Dual SIM (Nano-SIM/Micro-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Motorola,One Zoom,2019,2019,158 x 75 x 8.8 mm (6.22 x 2.95 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,One Action,2019,2019,160.1 x 71.2 x 9.2 mm (6.30 x 2.80 x 0.36 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2520 pixels
Motorola,Moto E6,2019,2019,149.7 x 72.3 x 8.6 mm (5.89 x 2.85 x 0.34 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
Motorola,Moto Z4,2019,2019,158 x 75 x 7.4 mm (6.22 x 2.95 x 0.29 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,One Vision,2019,2019,160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2520 pixels
Motorola,XOOM MZ604,2011,Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),,,TFT capacitive touchscreen,,10.1,800 x 1280 pixels,16:10 ratio (~149 ppi density)
Motorola,XOOM MZ601,2011,Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),,Mini-SIM,TFT capacitive touchscreen,,10.1,800 x 1280 pixels,16:10 ratio (~149 ppi density)
Motorola,QUENCH,2010,Discontinued,116.8 x 60 x 12.4 mm (4.60 x 2.36 x 0.49 in),,Mini-SIM,TFT capacitive touchscreen,,3.1,320 x 480 pixels,3:2 ratio (~186 ppi density)
Motorola,XT701,2009,Discontinued,116 x 60.9 x 10.9 mm (4.57 x 2.40 x 0.43 in),,Mini-SIM,TFT capacitive touchscreen,,3.7,480 x 854 pixels,16:9 ratio (~265 ppi density)
Motorola,A910,2005,Discontinued,93 x 51 x 23 mm,,127,Mini-SIM,,256K colors,,240 x 320 pixels
Motorola,E895,2005,Discontinued,93 x 51 x 23 mm,,127,Mini-SIM,,256K colors,,240 x 320 pixels
Motorola,E1060,2005,Cancelled,107 x 53 x 21 mm (4.21 x 2.09 x 0.83 in),,Mini-SIM,TFT,,,320 x 240 pixels,4:3 ratio
Motorola,C168,2005,Discontinued,104.4 x 46 x 14 mm,,77,Mini-SIM,,4096 colors,,128 x 128 pixels
Motorola,E680i,2005,Discontinued,109 x 53.8 x 20.5 mm,,133,Mini-SIM,,65K colors,,240 x 320 pixels
Motorola,V560,2005,Cancelled,V1,,Mini-SIM,V1,,,V1,
Motorola,V186,2005,Discontinued,86.5 x 44.5 x 25 mm (3.41 x 1.75 x 0.98 in),,Mini-SIM,CSTN,,,128 x 128 pixels,1:1 ratio
Motorola,V176,2005,Discontinued,V1,,Mini-SIM,CSTN,,,128 x 160 pixels,V1
Motorola,C980,2004,Discontinued,114 x 53 x 24.5 mm (4.49 x 2.09 x 0.96 in),,Mini-SIM,TFT,,1.9,176 x 220 pixels (~148 ppi density),V1
Motorola,A780,2004,Discontinued,106 x 53 x 24 mm,,141,Mini-SIM,,65K colors,,240 x 320 pixels
Motorola,C975,2004,Discontinued,114 x 53 x 24 mm,,139,Mini-SIM,,65K colors,,176 x 220 pixels (~148 ppi density)
Motorola,V555,2004,Discontinued,89 x 49 x 25 mm (3.50 x 1.93 x 0.98 in),,Mini-SIM,TFT,,,176 x 220 pixels,8 lines
Motorola,A840,2004,Discontinued,94 x 49 x 24 mm (3.70 x 1.93 x 0.94 in),,Mini-SIM,TFT,,2.2,176 x 220 pixels (~128 ppi density),V1
Motorola,E398,2004,Discontinued,108 x 46 x 21 mm (4.25 x 1.81 x 0.83 in),,Mini-SIM,TFT,,1.9,176 x 220 pixels,8 lines (~148 ppi density)
Motorola,MPx,2004,Discontinued,99.7 x 61.2 x 24 mm,,174,Mini-SIM,,65k colors,,240 x 320 pixels
Motorola,MPx100,2004,Cancelled,114 x 50 x 22 mm,,130,Mini-SIM,,65k colors,,176 x 220 pixels
Motorola,V872,2004,Discontinued,87 x 46 x 21.8 mm,,90,Mini-SIM,,65K colors,,128 x 160 pixels
Motorola,V878,2003,Discontinued,82 x 42 x 21.5 mm (3.23 x 1.65 x 0.85 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
Motorola,A925,2003,Discontinued,148 x 60 x 24 mm,,210,Mini-SIM,,65K colors,,208 x 320 pixels
Motorola,A920,2003,Discontinued,148 x 60 x 24 mm,,212,Mini-SIM,,65K colors,,208 x 320 pixels
Motorola,V690,2003,Discontinued,90 x 47 x 23 mm,,93,Mini-SIM,,65K colors,,128 x 160 pixels
Motorola,A835,2003,Discontinued,135 x 58.2 x 24.2 mm,,157,Mini-SIM,,65K colors,,176 x 220 pixels
Motorola,T725,2003,Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),,Mini-SIM,CSTN,,,120 x 160 pixels,9 lines
Motorola,T720i,2002,Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),,Mini-SIM,CSTN,,,120 x 160 pixels,9 lines
Motorola,T720,2002,Discontinued,90 x 47 x 21 mm (3.54 x 1.85 x 0.83 in),,Mini-SIM,CSTN,,,120 x 160 pixels,9 lines
Motorola,V70,2002,Discontinued,94 x 38 x 18 mm (3.70 x 1.50 x 0.71 in),,Mini-SIM,Monochrome graphic,,96 x 64 pixels,3 lines + prompts,3:2 ratio
Motorola,C336,2002,Discontinued,102 x 46 x 19 mm,,80,Mini-SIM,,,98 x 64 pixels,5 lines
Motorola,C332,2002,Discontinued,107 x 46 x 22 mm (4.21 x 1.81 x 0.87 in),,Mini-SIM,Grayscale graphic,,98 x 64 pixels,5 lines,3:2 ratio
Motorola,C331,2002,Discontinued,101 x 48 x 21 mm (3.98 x 1.89 x 0.83 in),,Mini-SIM,Grayscale graphic,,98 x 64 pixels,5 lines,3:2 ratio
Motorola,V60i,2002,Discontinued,87 x 45 x 24 mm,,103,Mini-SIM,,,96 x 64 pixels,3:2 ratio
Motorola,Accompli 388,2002,Discontinued,98 x 58 x 24 mm (3.86 x 2.28 x 0.94 in),,Mini-SIM,Monochrome graphic,,320 x 240 pixels,8 lines,4:3 ratio
Motorola,V60,2001,Discontinued,87 x 45 x 24 mm,,109,Mini-SIM,,,96 x 64 pixels,3:2 ratio
Motorola,Accompli 008,2002,Discontinued,98 x 60 x 28 mm (3.86 x 2.36 x 1.10 in),,Mini-SIM,Monochrome graphics,,,320 x 240 pixels,8 lines
Motorola,Timeport 280,2001,Discontinued,125 x 49 x 24 mm,,109,Mini-SIM,,Optimax,,128 x 100 pixels
Motorola,V.box(V100),2000,Discontinued,83 x 44 x 25 mm (3.27 x 1.73 x 0.98 in),,Mini-SIM,Monochrome graphic,,126 x 64 pixels,7 lines,V1
Motorola,StarTAC 130,1998,Discontinued,94 x 55 x 19 mm (3.70 x 2.17 x 0.75 in),,Mini-SIM,Monochrome graphic,,4 x 15 chars,V1,
Motorola,StarTAC 85,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),,Mini-SIM,Monochrome graphic,,4 x 15 chars,V1,
Motorola,StarTAC Rainbow,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),,Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
Motorola,StarTAC 75+,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),,Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
Motorola,StarTAC 75,1997,Discontinued,98 x 57 x 23 mm (3.86 x 2.24 x 0.91 in),,Mini-SIM,Alphanumeric,,2 x 12 chars,V1,
Motorola,SlimLite,1997,Discontinued,143 x 57 x 16 mm (5.63 x 2.24 x 0.63 in),,Mini-SIM,Monochrome graphic,,4 x 16 chars,V1,
Motorola,cd930,1998,Discontinued,129 x 55 x 27 mm (5.08 x 2.17 x 1.06 in),,Mini-SIM,Monochrome graphic,,,96 x 32 pixels,4 x 12 chars
Motorola,cd920,1998,Discontinued,129 x 55 x 27 mm (5.08 x 2.17 x 1.06 in),,Mini-SIM,Monochrome graphic,,,96 x 32 pixels,4 x 12 chars
Motorola,M3188,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,,96 x 32 pixels,2 x 12 chars
Motorola,M3288,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,,96 x 32 pixels,4 x 12 chars
Motorola,M3588,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,,96 x 32 pixels,4 x 12 chars
Motorola,M3688,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,Optimax,,96 x 32 pixels
Motorola,M3788,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,Optimax,,96 x 32 pixels
Motorola,M3888,1999,Discontinued,140 x 50 x 25 mm,,170,Mini-SIM,,,2 x 12 chars,V1
Motorola,Moto Z4 Force,,Cancelled,,,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,Moto Z4 Play,,Cancelled,,,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,P40,,Cancelled,160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~411 ppi density)
NEC,N401i,2005,Discontinued,90 x 44 x 23 mm,,90,Mini-SIM,,1.9,176 x 220 pixels (~148 ppi density),V1
NEC,N343i,2005,Discontinued,109 x 43 x 12.7 mm (4.29 x 1.69 x 0.5 in),,Mini-SIM,CSTN,,,128 x 160 pixels,V1
NEC,N200,2005,Discontinued,70 x 51 x 18.6 mm (2.76 x 2.01 x 0.73 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
NEC,N923,2004,Discontinued,85 x 54 x 9.5 mm (3.35 x 2.13 x 0.37 in),,Mini-SIM,TFT,,,120 x 160 pixels,4:3 ratio
NEC,N920,2004,Discontinued,85 x 54 x 9.6 mm (3.35 x 2.13 x 0.38 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
NEC,e338,2004,Discontinued,93.8 x 47.1 x 23.3 mm,,114,Mini-SIM,,65K colors,,176 x 220 pixels (~141 ppi density)
NEC,e228,2004,Discontinued,129 x 54 x 21 mm (5.08 x 2.13 x 0.83 in),,Mini-SIM,TFT,,2.2,176 x 220 pixels (~128 ppi density),V1
NEC,N410i,2004,Discontinued,101 x 49 x 24 mm,,118,Mini-SIM,,65K colors,,240 x 320 pixels
NEC,N400i,2004,Discontinued,101 x 49 x 24 mm,,110,Mini-SIM,,2.2,240 x 320 pixels,4:3 ratio (~182 ppi density)
NEC,N331i,2004,Discontinued,101 x 48 x 24 mm,,110,Mini-SIM,,65K colors,,128 x 160 pixels
NEC,N830,2004,Discontinued,101 x 49 x 24 mm (3.98 x 1.93 x 0.94 in),,Mini-SIM,TFT,,2.2,320 x 240 pixels,4:3 ratio (~182 ppi density)
NEC,N820,2003,Discontinued,101 x 48 x 24 mm,,110,Mini-SIM,,65K colors,,320 x 240 pixels
NEC,e606,2003,Discontinued,109 x 53 x 32 mm,,145,Mini-SIM,,65K colors,,132 x 160 pixels
NEC,e232,2003,Discontinued,90 x 43 x 23 mm,,90,Mini-SIM,,65K colors,,128 x 160 pixels
NEC,DB4100,2000,Discontinued,120 x 42 x 22 mm,,99,Mini-SIM,,,97 x 59 pixels,5:3 ratio
NEC,G9D+,1997,Discontinued,145 x 49 x 22.5 mm (5.71 x 1.93 x 0.89 in),,Mini-SIM,Alphanumeric,,4 x 12 chars,V1,
Neonode,N1m,2005,Discontinued,88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in),,Mini-SIM,TFT touchscreen,,2.2,176 x 220 pixels (~128 ppi density),V1
Nokia,C5 Endi,2020,2020,171.7 x 76.7 x 8.9 mm (6.76 x 3.02 x 0.35 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.52,720 x 1600 pixels,20:9 ratio (~269 ppi density)
Nokia,C2 Tennen,2020,2020,150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),,Nano-SIM,IPS LCD capacitive touchscreen,,5.45,720 x 1440 pixels,18:9 ratio (~295 ppi density)
Nokia,C2 Tava,2020,2020,150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),,Nano-SIM,IPS LCD capacitive touchscreen,,5.45,720 x 1440 pixels,18:9 ratio (~295 ppi density)
Nokia,150 (2020),2020,2020,132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),,Dual SIM (Mini-SIM,dual stand-by),,65K colors,,240 x 320 pixels
Nokia,125,2020,2020,132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM,dual stand-by),,65K colors,,240 x 320 pixels
Nokia,8.3 5G,2020,2020,171.9 x 78.6 x 9 mm (6.77 x 3.09 x 0.35 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Nokia,5.3,2020,2020,164.3 x 76.6 x 8.5 mm (6.47 x 3.02 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Nokia,1.3,2020,2020,147.3 x 71.2 x 9.4 mm (5.80 x 2.80 x 0.37 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Nokia,5310 (2020),2020,2020,123.7 x 52.4 x 13.1 mm,,88.2,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM,,TFT,,240 x 320 pixels
Nokia,2.3,2019,2019,157.7 x 75.4 x 8.7 mm (6.21 x 2.97 x 0.34 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Nokia,7.2,2019,2019,159.9 x 75.2 x 8.3 mm (6.30 x 2.96 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2280 pixels
Nokia,6.2,2019,2019,159.9 x 75.1 x 8.3 mm (6.30 x 2.96 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2280 pixels
Nokia,800 Tough,2019,2019,145.4 x 62.1 x 16.1 mm (5.72 x 2.44 x 0.63 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,256K colors,,240 x 320 pixels
Nokia,2720 Flip,2019,2019,192.7 x 54.5 x 11.6 mm (7.59 x 2.15 x 0.46 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,256K colors,,240 x 320 pixels
Nokia,220 4G,2019,2019,121.3 x 52.9 x 13.4 mm (4.78 x 2.08 x 0.53 in),,Single SIM (Nano-SIM) or Dual SIM (Mini-SIM,dual stand-by),,256K colors,,240 x 320 pixels
Nokia,110 (2019),2019,2019,115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),,Dual SIM (Mini-SIM,dual stand-by),,65K colors,,120 x 160 pixels
Nokia,105 (2019),2019,2019,119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in),,Dual SIM (Mini-SIM,dual stand-by),,65K colors,,120 x 160 pixels
Nokia,3.1 C,2019,2019,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),,Nano-SIM,IPS LCD capacitive touchscreen,,5.45,720 x 1440 pixels,18:9 ratio (~295 ppi density)
Nokia,3.1 A,2019,2019,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),,Nano-SIM,IPS LCD capacitive touchscreen,,5.45,720 x 1440 pixels,18:9 ratio (~295 ppi density)
Nokia,2.2,2019,2019,146 x 70.6 x 9.3 mm (5.75 x 2.78 x 0.37 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Nokia,X6 8GB (2010),2010,Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),,Mini-SIM,TFT capacitive touchscreen,,3.2,360 x 640 pixels,16:9 ratio (~229 ppi density)
Nokia,X6 16GB (2010),2010,Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),,Mini-SIM,TFT capacitive touchscreen,,3.2,360 x 640 pixels,16:9 ratio (~229 ppi density)
Nokia,X6 (2009),2009,Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),,Mini-SIM,TFT capacitive touchscreen,,3.2,360 x 640 pixels,16:9 ratio (~229 ppi density)
Nokia,6131 NFC,2007,Discontinued,92 x 47 x 20 mm (3.62 x 1.85 x 0.79 in),,Mini-SIM,TFT,,2.2,240 x 320 pixels,4:3 ratio (~182 ppi density)
Nokia,8.1 Plus,,Cancelled,,,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2520 pixels
O2,Cosmo,2006,Discontinued,111 x 62 x 13 mm (4.37 x 2.44 x 0.51 in),,Mini-SIM,TFT,,2.4,240 x 320 pixels,4:3 ratio (~167 ppi density)
O2,XDA Orion,2005,Discontinued,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),,Mini-SIM,TFT,,2.2,240 x 320 pixels,4:3 ratio (~182 ppi density)
O2,X1b,2005,Discontinued,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),,Mini-SIM,TFT,,,128 x 128 pixels,1:1 ratio
O2,XM,2005,Discontinued,89 x 47 x 23.5 mm (3.50 x 1.85 x 0.93 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
O2,X4,2004,Discontinued,89.9 x 45.1 x 24 mm (3.54 x 1.78 x 0.94 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
O2,XDA IIs,2004,Discontinued,125 x 71 x 19 mm (4.92 x 2.80 x 0.75 in),,Mini-SIM,TFT resistive touchscreen,,3.5,240 x 320 pixels,4:3 ratio (~114 ppi density)
O2,XDA IIi,2004,Discontinued,130 x 70 x 19 mm (5.12 x 2.76 x 0.75 in),,Mini-SIM,TFT resistive touchscreen,,3.5,240 x 320 pixels,4:3 ratio (~114 ppi density)
O2,Xphone II,2004,Discontinued,107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in),,Mini-SIM,TFT,,2.2,176 x 220 pixels (~128 ppi density),V1
O2,XDA II,2003,Discontinued,130 x 70 x 19 mm (5.12 x 2.76 x 0.75 in),,Mini-SIM,TFT resistive touchscreen,,3.5,240 x 320 pixels,4:3 ratio (~114 ppi density)
O2,Xphone,2003,Discontinued,120 x 50 x 24 mm (4.72 x 1.97 x 0.94 in),,Mini-SIM,TFT,,2.2,176 x 220 pixels (~128 ppi density),V1
O2,XDA,2003,Discontinued,129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in),,Mini-SIM,TFT resistive touchscreen,,3.5,240 x 320 pixels,4:3 ratio (~114 ppi density)
OnePlus,8 5G UW (Verizon),2020,2020,160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),,Pre-installed Nano-SIM,Fluid AMOLED capacitive touchscreen,,6.55,1080 x 2400 pixels,20:9 ratio (~402 ppi density)
OnePlus,8 5G (T-Mobile),2020,2020,160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),,Nano-SIM,Fluid AMOLED capacitive touchscreen,,6.55,1080 x 2400 pixels,20:9 ratio (~402 ppi density)
OnePlus,7T Pro 5G McLaren,2019,2019,162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1440 x 3120 pixels
OnePlus,7T Pro,2019,2019,162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1440 x 3120 pixels
OnePlus,7T,2019,2019,160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
OnePlus,7 Pro 5G,2019,2019,162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1440 x 3120 pixels
Oppo,Reno4 Pro 5G,2020,2020,159.6 x 72.5 x 7.6 mm (6.28 x 2.85 x 0.30 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Reno4 5G,2020,2020,159.3 x 74 x 7.8 mm (6.27 x 2.91 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Find X2 Neo,2020,2020,159.4 x 72.4 x 7.7 mm (6.28 x 2.85 x 0.30 in),,Nano-SIM,AMOLED capacitive touchscreen,,6.5,1080 x 2400 pixels,20:9 ratio (~402 ppi density)
Oppo,A92s,2020,2020,163.8 x 75.5 x 8.1 mm (6.45 x 2.97 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Find X2 Lite,2020,2020,160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Ace2,2020,2020,160 x 75.4 x 8.6 mm (6.30 x 2.97 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,A12e,2020,2020,156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Oppo,Reno3,2020,2020,160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Find X2 Pro,2020,2020,165.2 x 74.4 x 8.8 mm (Ceramic) / 9.5mm (Leather),,Dual SIM (Nano-SIM,dual stand-by),,1B colors,,1440 x 3168 pixels (~513 ppi density)
Oppo,Find X2,2020,2020,164.9 x 74.5 x 8 mm (6.49 x 2.93 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,1B colors,,1440 x 3168 pixels (~513 ppi density)
Oppo,Reno3 Pro,2020,2020,158.8 x 73.4 x 8.1 mm (6.25 x 2.89 x 0.32 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,F15,2020,2020,160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Reno3 Pro 5G,2019,2019,159.4 x 72.4 x 7.7 mm (6.28 x 2.85 x 0.30 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Reno3 Youth,2020,2020,160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Reno3 5G,2019,2019,160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,A91,2019,2019,160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,A8,2019,2019,163.9 x 75.5 x 8.3 mm (6.45 x 2.97 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Oppo,Reno Ace,2019,2019,161 x 75.7 x 8.7 mm (6.34 x 2.98 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2400 pixels
Oppo,Reno A,2019,2019,158.4 x 75.4 x 7.8 mm (6.24 x 2.97 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Oppo,A5 (2020),2019,2019,163.6 x 75.4 x 9.1 mm (6.44 x 2.97 x 0.36 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Oppo,A9 (2020),2019,2019,163.6 x 75.6 x 9.1 mm (6.44 x 2.98 x 0.36 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
